id,region,category,parameter,mode,powertrain,year,unit,value
361,Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21
362,Netherlands,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
363,Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21
364,Netherlands,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5800
365,Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
366,Netherlands,Historical,EV charging points,EV,Publicly available slow,2014,charging points,12000
367,Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220
368,Netherlands,Historical,EV charging points,EV,Publicly available slow,2015,charging points,18000
369,Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400
370,Netherlands,Historical,EV charging points,EV,Publicly available slow,2016,charging points,32000
371,Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,410
372,Netherlands,Historical,EV charging points,EV,Publicly available slow,2017,charging points,33000
373,Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,820
374,Netherlands,Historical,EV charging points,EV,Publicly available slow,2018,charging points,36000
375,Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1300
376,Netherlands,Historical,EV charging points,EV,Publicly available slow,2019,charging points,46000
377,Netherlands,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2100
378,Netherlands,Historical,EV charging points,EV,Publicly available slow,2020,charging points,63000
379,Netherlands,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
